mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.053813600540161134,0.0006368266307928774,0.005585527420043946,0.0004887921530784339,gini,8,100,"{'criterion': 'gini', 'max_depth': 8, 'n_estimators': 100}",0.7439613526570048,0.5748792270531401,0.6090909090909091,0.5202020202020201,0.5606060606060606,0.6017479139218269,0.07660664846578652,3
0.06497840881347657,0.001253498719683128,0.005234050750732422,0.0003863110120261379,gini,8,130,"{'criterion': 'gini', 'max_depth': 8, 'n_estimators': 130}",0.748792270531401,0.570048309178744,0.6181818181818182,0.5202020202020201,0.5555555555555556,0.6025559947299077,0.07959545557612689,1
0.05366387367248535,0.0007486482424568606,0.005179452896118164,0.0007494947233461286,gini,9,100,"{'criterion': 'gini', 'max_depth': 9, 'n_estimators': 100}",0.7439613526570048,0.5748792270531401,0.6090909090909091,0.51010101010101,0.5606060606060606,0.599727711901625,0.07883135044152276,7
0.06442203521728515,0.0010148983928303587,0.010377264022827149,0.010787633744087628,gini,9,130,"{'criterion': 'gini', 'max_depth': 9, 'n_estimators': 130}",0.748792270531401,0.570048309178744,0.6181818181818182,0.51010101010101,0.5555555555555556,0.6005357927097057,0.08175882059207257,5
0.05426115989685058,0.001026376319836629,0.005380010604858399,0.0004923855821880644,entropy,8,100,"{'criterion': 'entropy', 'max_depth': 8, 'n_estimators': 100}",0.7439613526570048,0.5748792270531401,0.6090909090909091,0.5202020202020201,0.5606060606060606,0.6017479139218269,0.07660664846578652,3
0.06482658386230469,0.0008919634181888066,0.004793882369995117,0.0004025321353482206,entropy,8,130,"{'criterion': 'entropy', 'max_depth': 8, 'n_estimators': 130}",0.748792270531401,0.570048309178744,0.6181818181818182,0.5202020202020201,0.5555555555555556,0.6025559947299077,0.07959545557612689,1
0.052654361724853514,0.0009713444989213672,0.00498652458190918,0.0006307510655622034,entropy,9,100,"{'criterion': 'entropy', 'max_depth': 9, 'n_estimators': 100}",0.7439613526570048,0.5748792270531401,0.6090909090909091,0.51010101010101,0.5606060606060606,0.599727711901625,0.07883135044152276,7
0.06368169784545899,0.0012193590509495525,0.004935359954833985,0.00010353282256900817,entropy,9,130,"{'criterion': 'entropy', 'max_depth': 9, 'n_estimators': 130}",0.748792270531401,0.570048309178744,0.6181818181818182,0.51010101010101,0.5555555555555556,0.6005357927097057,0.08175882059207257,5
